code,product_name,nutrition_grades,brands,categories,energy-kcal_100g,sugars_100g,salt_100g,fat_100g
3421557110221,Muesli avoine amandes chocolat,c,TERRES ET CÉRÉALES,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Céréales au chocolat, Mueslis, Mueslis au chocolat",456.0,22.0,0.05,17.0
3502490171606,Pruneaux d'Agen dénoyautés,c,Maître PRUNILLE,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Produits déshydratés, Fruits, Aliments à base de plantes séchées, Fruits secs, Fruits français, Pruneaux, Pruneaux d'Agen",232.0,35.0,0.02,0.2
3521042004322,le Breizh Surimi,c,Compagnie des Pêches Saint-Malo,"Produits de la mer,Poissons et dérivés,Poissons,Frais,Préparations de poisson,Réfrigérés,Surimi,Bâtonnets de surimi",121.0,4.0,1.8,4.8
3564700024164,Riz basmati,b,"Marque Repère, Comptoir du Grain","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Graines, Céréales et dérivés, Céréales en grains, Riz, Riz parfumés, Riz de variété indica, Riz long grain, Riz Basmati",356.0,0.5,0.01,0.7
3564700568903,primfrais,d,"Marque Repère, Les Croisés","Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Produits à tartiner, Produits à tartiner salés, Fromages à tartiner",255.0,3.0,1.0,25.0
5000112557664,Coca Cola,e,Coca-Cola,"bevande, bevande-effervescente, bibite-gassate, cola, bevande-zuccherate, it:bevande, it:bevande-effervescente, en:bevande-effervescente, it:bevande-zuccherate, it:bibite-gassate, en:bibite-gassate",42.0,10.6,0.0,0.0
5010928459502,Rich & creamy coconut milk,e,"Amoy,Alifoods","Bebidas y preparaciones de bebidas,Alimentos y bebidas de origen vegetal,Bebidas,Alimentos de origen vegetal,en:Dairy substitutes,Sustitutos de la leche,Bebidas de origen vegetal,Bebidas vegetales,Natas vegetales,Natas vegetales para cocinar,Leches de coco",165.0,2.5,0.15,17.0
5019503034165,Smoky Ham Free Slices,a,Quorn,"Plant-based foods and beverages,Plant-based foods,Meat alternatives,Meat analogues,Prepared meat cuts substitutes,Ham substitutes",101.0,0.3,1.7,2.5
5021991938771,Fairtrade Instant Hot Chocolate,unknown,Clipper,"Beverages, Breakfasts, Cocoa and its products, Cocoa and chocolate powders, Instant beverages, Chocolate-powders, en:instant-chocolate-powders",379.0,70.2,0.9,3.4
5411188091912,"Alpro Sojadrink Original fresh mit Calcium, 1 L, 11",b,Alpro,"Boissons et préparations de boissons,Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Légumineuses et dérivés,Substituts de produits laitiers,Substituts du lait,Boissons à base de végétaux,Boissons végétales,Boissons végétales de légumineuses,Boissons végétales de soja,Boissons avec sucre ajouté,Boissons de soja nature sucrées,Boissons de soja nature non sucrées,Boisson au soja nature enrichie en calcium",39.0,2.5,0.08,1.8
6111069003049,Tisane Bien être Bonne Nuit - 20 Sachets,unknown,Sultan,en:herbal-tea-blends,4.0,0.0,,0.0
6111180006059,Crème chantilly,d,idéal,"desserts, aides-culinaires, fr:aides-culinaires",552.0,0.0,0.37,32.0
6111252420035,Pepsi 1L,e,Pepsi,"Beverages, Carbonated drinks, Sodas, Sweetened beverages, en:colas",42.0,11.0,0.0,0.0
